0,1
D:/photos/SORIE/train/d00c2451-162e-4ba0-9bd2-736ecb95eab5.jpg,8.40
D:/photos/SORIE/train/d1763371-f4e1-4646-b1aa-9f5be886e1da.jpg,CASH INV NO.: 7009F714
D:/photos/SORIE/train/551ddb73-8033-45a2-ac86-d6519b6c368a.jpg,1
D:/photos/SORIE/test/0aa253f3-1f8c-4e32-942a-5fbe31b0afbb.jpg,11.14 T
D:/photos/SORIE/train/f2439c3f-058f-4c7a-88fd-d131691ad0b7.jpg,2.50
D:/photos/SORIE/test/f4c7514a-228b-4863-beea-4b494c6e8aee.jpg,DATE : 05/04/2017
D:/photos/SORIE/test/cd9e4f08-6c6a-4c67-87c0-e704fb727a72.jpg,TOTAL SALES (EXCLUDING GST) :
D:/photos/SORIE/test/b56d29e7-e406-4f67-b3e7-46ede18364f8.jpg,OPEN ITEM
D:/photos/SORIE/train/788c767d-6d1b-4bd2-9c4e-864cd3917914.jpg,TOTAL :
D:/photos/SORIE/train/1a83d60d-e136-44b9-9b49-a22128b9b88e.jpg,.02
D:/photos/SORIE/train/0124f5c7-0f7e-4480-8aa0-6cfa2fab5224.jpg,6.50
D:/photos/SORIE/train/7eb951dc-ae62-428f-85d2-6fbd96901d18.jpg,AMOUNT TO BE PAID:
D:/photos/SORIE/train/9059ef31-53e6-4302-b5d3-ca683eb6f35c.jpg,0.00 RM
D:/photos/SORIE/train/b4170f51-3cb2-426f-b668-e8cf8ed0d515.jpg,ELIN (1)
D:/photos/SORIE/train/f506d40e-894b-4bca-8f71-3a8a2311b78b.jpg,T. AWAY
D:/photos/SORIE/train/5e054227-cc04-4b3e-a629-1b25a34c7cda.jpg,TAX INVOICE / ADJUSTMENT NOTE
D:/photos/SORIE/test/c2dc542c-8f87-4851-88d0-208ac678836c.jpg,"016-5498845,"
D:/photos/SORIE/test/e3cac24b-a322-4bfe-8ab5-d557d3936445.jpg,TOTAL(RM)
D:/photos/SORIE/train/087dd7e1-6dd7-4bac-99b9-671ab1a0a787.jpg,AMOUNT
D:/photos/SORIE/train/93c6a022-2200-4283-a4c3-9589124a61e3.jpg,CHANGE :
D:/photos/SORIE/train/9f2749f4-fd66-407f-b529-541f92d6c718.jpg,2.10
D:/photos/SORIE/test/955fc89a-55d3-4c08-b5ec-293333507f03.jpg,2.10
D:/photos/SORIE/test/e246bc28-af77-48e6-882c-0d9642ff907c.jpg,DISCOUNT
D:/photos/SORIE/test/9426d50a-9627-4922-8887-56d3f1488a82.jpg,GST ID: 000381399040
